readcode,medcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databasebuild,description
G343.00,7320,2726,0,42,0,Ischaemic cardiomyopathy,February 2009,Ischaemic cardiomyopathy
G344.00,29421,684,0,25,0,Silent myocardial ischaemia,February 2009,Silent myocardial ischaemia
G34y.00,34633,76,0,3,0,Other specified chronic ischaemic heart disease,February 2009,Other specified chronic ischaemic heart disease
G34y000,24540,192,0,2,0,Chronic coronary insufficiency,February 2009,Chronic coronary insufficiency
G34y100,23078,1662,0,16,0,Chronic myocardial ischaemia,February 2009,Chronic myocardial ischaemia
G34yz00,35713,62,0,3,0,Other specified chronic ischaemic heart disease NOS,February 2009,Other specified chronic ischaemic heart disease NOS
G34z.00,15754,398,0,13,0,Other chronic ischaemic heart disease NOS,February 2009,Other chronic ischaemic heart disease NOS
G34z000,18889,1199,0,7,0,Asymptomatic coronary heart disease,February 2009,Asymptomatic coronary heart disease
G3y..00,22383,930,0,1,0,Other specified ischaemic heart disease,February 2009,Other specified ischaemic heart disease
G3z..00,1676,70589,0,303,1,Ischaemic heart disease NOS,February 2009,Ischaemic heart disease NOS
Gyu3.00,52517,2818,0,14,0,[X]Ischaemic heart diseases,February 2009,[X]Ischaemic heart diseases
Gyu3200,68401,14,0,0,0,[X]Other forms of acute ischaemic heart disease,February 2009,[X]Other forms of acute ischaemic heart disease
Gyu3300,47637,16,0,0,0,[X]Other forms of chronic ischaemic heart disease,February 2009,[X]Other forms of chronic ischaemic heart disease
